=======================================================
THESIS SIMULATION DATA - COMPLETE TEXT DUMP
=======================================================

-------------------------------------------------------
SIMULATION METADATA
-------------------------------------------------------
Layout Name:       Multi-Floor Office
PoE Enabled:       Off
Base Load:         10.0 W
Tx Power Levels:   {1: 5.0, 2: 12.0, 3: 16.0, 4: 20.0} dBm

-------------------------------------------------------
BEST SOLUTIONS FOUND (Min Uncovered, then Min Power)
-------------------------------------------------------
AI (NSGA-II):      Uncovered: 3.0, Power: 30.16W, Interference: 216.0
Random Search:     Uncovered: 3.0, Power: 40.23W, Interference: 230.0
Grid Deployment:   Uncovered: 3.0, Power: 131.30W, Interference: 265.0

-------------------------------------------------------
DATASET: Section 4.1: Pareto Front Solutions (AI + Baselines) (combined_solutions.csv)
-------------------------------------------------------
Method,Uncovered,Power,Interference
Random,34.0,10.04,0.0
Random,23.0,10.1,0.0
Random,34.0,10.04,0.0
Random,53.0,10.015,0.0
Random,92.0,10.003,0.0
Random,5.0,30.24,228.0
Random,34.0,10.04,0.0
Random,53.0,10.015,0.0
Random,34.0,10.04,0.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,92.0,10.003,0.0
Random,34.0,10.04,0.0
Random,12.0,20.14,97.0
Random,92.0,10.003,0.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,92.0,10.003,0.0
Random,92.0,10.003,0.0
Random,92.0,10.003,0.0
Random,34.0,10.04,0.0
Random,19.0,20.08,85.0
Random,16.0,20.08,95.0
Random,16.0,20.08,95.0
Random,19.0,20.103,81.0
Random,19.0,20.103,81.0
Random,19.0,20.103,81.0
Random,8.0,30.143,211.0
Random,17.0,20.14,74.0
Random,22.0,20.055,63.0
Random,6.0,30.24,224.0
Random,6.0,30.18,228.0
Random,3.0,40.255,245.0
Random,4.0,40.23,231.0
Random,21.0,20.055,89.0
Random,21.0,20.055,89.0
Random,18.0,20.115,89.0
Random,6.0,40.158,214.0
Random,6.0,40.255,213.0
Random,6.0,60.203,199.0
Random,7.0,60.189,200.0
Random,5.0,40.183,221.0
Random,7.0,40.34,208.0
Random,5.0,70.20400000000001,205.0
Random,5.0,40.17,223.0
Random,5.0,40.218,216.0
Random,21.0,20.115,70.0
Random,21.0,20.103,72.0
Random,21.0,20.115,70.0
Random,7.0,30.24,219.0
Random,7.0,30.215000000000003,221.0
Random,9.0,20.2,119.0
Random,3.0,50.258,233.0
Random,4.0,50.198,227.0
Random,3.0,40.255,238.0
Random,4.0,60.201,223.0
Random,8.0,30.215000000000003,184.0
Random,5.0,30.24,235.0
Random,5.0,40.135,228.0
Random,5.0,30.3,232.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,57.0,10.015,0.0
Random,14.0,30.058,114.0
Random,13.0,20.14,120.0
Random,14.0,20.14,115.0
Random,14.0,20.14,115.0
Random,25.0,20.043,62.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,29.0,20.043,58.0
Random,23.0,20.08,47.0
Random,27.0,20.055,59.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,23.0,20.08,47.0
Random,26.0,20.115,43.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,25.0,20.043,62.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,26.0,20.115,43.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,29.0,20.055,48.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,30.0,10.1,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,101.0,10.003,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,37.0,10.04,0.0
Random,17.0,20.115,97.0
Random,19.0,20.08,95.0
Random,16.0,20.2,105.0
Random,18.0,20.08,161.0
Random,19.0,20.103,82.0
Random,19.0,20.103,82.0
Random,8.0,30.18,213.0
Random,8.0,30.155,214.0
Random,19.0,20.14,81.0
Random,19.0,20.14,81.0
Random,7.0,30.203000000000003,229.0
Random,7.0,30.18,230.0
Random,4.0,40.243,231.0
Random,21.0,20.08,89.0
Random,24.0,20.055,120.0
Random,24.0,20.055,120.0
Random,22.0,20.055,121.0
Random,21.0,20.055,150.0
Random,21.0,20.08,89.0
Random,21.0,20.08,89.0
Random,7.0,40.158,217.0
Random,6.0,40.195,220.0
Random,5.0,40.195,222.0
Random,7.0,50.161,210.0
Random,6.0,40.17,225.0
Random,5.0,40.183,223.0
Random,6.0,50.233,218.0
Random,21.0,20.14,71.0
Random,7.0,40.098,223.0
Random,7.0,40.11,221.0
Random,10.0,30.07,171.0
Random,9.0,30.12,230.0
Random,10.0,30.143,135.0
Random,9.0,30.203000000000003,149.0
Random,9.0,30.155,187.0
Random,12.0,20.2,232.0
Random,3.0,60.225,237.0
Random,3.0,70.26400000000001,236.0
Random,3.0,40.4,239.0
Random,3.0,40.28,254.0
Random,3.0,60.188,238.0
Random,3.0,40.34,242.0
Random,8.0,30.3,208.0
Random,8.0,40.4,194.0
Random,8.0,40.17,203.0
Random,6.0,40.158,232.0
Random,6.0,40.158,232.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
Random,60.0,10.015,0.0
