Uncovered,Power,Interference
17.0,20.115000000000002,99.0
16.0,20.2,113.0
16.0,20.2,113.0
19.0,20.08,175.0
19.0,20.115000000000002,83.0
19.0,20.103,85.0
21.0,20.115000000000002,82.0
8.0,30.155,216.0
19.0,20.2,82.0
7.0,30.24,230.0
7.0,30.18,239.0
4.0,50.163,231.0
4.0,40.315,234.0
4.0,40.255,243.0
4.0,40.28,240.0
22.0,20.055,139.0
21.0,20.08,149.0
7.0,40.230000000000004,218.0
7.0,60.104,215.0
5.0,40.243,224.0
5.0,40.195,239.0
6.0,40.218,230.0
6.0,40.218,230.0
6.0,40.22,227.0
5.0,40.230000000000004,232.0
7.0,40.17,221.0
7.0,40.146,224.0
12.0,30.118000000000002,181.0
10.0,30.095,216.0
11.0,30.07,203.0
10.0,30.143,142.0
9.0,30.203000000000003,156.0
3.0,50.258,240.0
3.0,50.257999999999996,242.0
3.0,50.21,247.0
8.0,40.073,212.0
8.0,40.22,207.0
6.0,40.183,236.0
6.0,40.195,232.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
83.0,10.015,0.0
13.0,30.118000000000002,147.0
13.0,20.2,155.0
13.0,30.07,154.0
15.0,30.083,122.0
15.0,20.14,123.0
14.0,30.083,139.0
14.0,30.083,139.0
14.0,20.14,153.0
14.0,20.14,153.0
23.0,20.14,53.0
25.0,20.08,66.0
25.0,20.115000000000002,60.0
25.0,20.115000000000002,60.0
25.0,20.043,84.0
27.0,20.055,77.0
26.0,20.055,78.0
26.0,20.043,81.0
26.0,20.055,78.0
32.0,20.03,73.0
33.0,20.103,37.0
31.0,20.055,40.0
33.0,20.103,37.0
32.0,20.103,39.0
31.0,20.055,40.0
32.0,20.103,39.0
30.0,20.043,49.0
38.0,20.018,12.0
36.0,20.043,25.0
35.0,20.03,43.0
35.0,20.103,23.0
35.0,20.103,23.0
35.0,20.103,23.0
37.0,20.103,21.0
38.0,20.018,12.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
139.0,10.003,0.0
47.0,10.1,0.0
47.0,10.1,0.0
49.0,10.04,0.0
49.0,10.04,0.0
49.0,10.04,0.0
49.0,10.04,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
49.0,10.04,0.0
47.0,10.1,0.0
49.0,10.04,0.0
49.0,10.04,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
49.0,10.04,0.0
47.0,10.1,0.0
47.0,10.1,0.0
49.0,10.04,0.0
49.0,10.04,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
47.0,10.1,0.0
49.0,10.04,0.0
